"dates","invoice_no","item_name","price","quantity","sub_total","discount","tax","final_total","table_number","server_name","category"
"2023-09-19","28389","Kulcha","55","1","55","0","2.76","57.76","16","biller","Indian Breads"
"2023-09-19","28389","Parota","30","4","120","0","6","126","16","biller","Indian Breads"
"2023-09-19","28389","Mushroom Masala","150","1","150","0","7.5","157.5","16","biller","Veg Gravy"
"2023-09-19","28389","Paneer Butter Masala","150","1","150","0","7.5","157.5","16","biller","Veg Gravy"
"2023-09-19","28389","Gobi- 65","120","1","120","0","6","126","16","biller","Veg Starters"
"2023-09-19","28389","Mineral Water","20","2","40","0","2","42","16","biller","Deserts & Mocktails"
"2023-09-19","28388","Chilly Fish Dry","199","1","199","0","9.94","208.94","12","biller","NON VEG STARTERS FISH"
"2023-09-19","28388","Fish 65","199","1","199","0","9.94","208.94","12","biller","NON VEG STARTERS FISH"
"2023-09-19","28388","Prawn Chilli","199","1","199","0","9.94","208.94","12","biller","NON VEG STARTERS FISH"
"2023-09-19","28388","Chicken 65 Boneless","190","1","190","0","9.5","199.5","12","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28388","Chicken Lolly Pop","190","1","190","0","9.5","199.5","12","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28388","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","12","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28388","Egg Briyani With Raitha And Chicken Gravy","140","2","280","0","14","294","12","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28388","Paneer Noodles","150","1","150","0","7.5","157.5","12","biller","VEG BIRYANI & RICE"
"2023-09-19","28388","Plain Briyani With Raitha, Gravy.","130","1","130","0","6.5","136.5","12","biller","VEG BIRYANI & RICE"
"2023-09-19","28388","Schezwan Mushroom Fried Rice","140","1","140","0","7","147","12","biller","VEG BIRYANI & RICE"
"2023-09-19","28387","Chicken Biriyani With Raitha And Gravy","160","3","480","0","24","504","1","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28387","Chicken Fried Rice","160","1","160","0","8","168","1","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28387","Schewan Chicken Noodle","160","1","160","0","8","168","1","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28387","Schezwan Egg Fried Rice","140","2","280","0","14","294","1","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28387","Chicken 65","160","1","160","0","8","168","1","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28387","Chicken 65 Boneless","190","1","190","0","9.5","199.5","1","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28386","Chicken Manchurian Dry","190","1","190","0","9.5","199.5","34","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28386","Chicken Lolly Pop","190","1","190","0","9.5","199.5","34","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28386","Prawn Pepper Fry","199","1","199","0","9.94","208.94","34","biller","NON VEG STARTERS FISH"
"2023-09-19","28386","Butter Chicken Gravy","170","1","170","0","8.5","178.5","34","biller","Non Veg Gravy"
"2023-09-19","28386","Schezwan Chicken Gravy","170","1","170","0","8.5","178.5","34","biller","Non Veg Gravy"
"2023-09-19","28386","Butter Naan","60","4","240","0","12","252","34","biller","Indian Breads"
"2023-09-19","28386","Romali Roti (1 No)","50","5","250","0","12.5","262.5","34","biller","Indian Breads"
"2023-09-19","28385","Roti","40","2","80","0","4","84","8","biller","Indian Breads"
"2023-09-19","28385","Butter Naan","60","1","60","0","3","63","8","biller","Indian Breads"
"2023-09-19","28385","Paneer Butter Masala","150","1","150","0","7.5","157.5","8","biller","Veg Gravy"
"2023-09-19","28385","Chicken Noodles","160","1","160","0","8","168","8","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28385","Mineral Water","20","1","20","0","1","21","8","biller","Deserts & Mocktails"
"2023-09-19","28384","Naan","50","3","150","0","7.5","157.5","6","biller","Indian Breads"
"2023-09-19","28384","Paneer Butter Masala","150","1","150","0","7.5","157.5","6","biller","Veg Gravy"
"2023-09-19","28384","Mineral Water","20","1","20","0","1","21","6","biller","Deserts & Mocktails"
"2023-09-19","28383","French Fries","100","1","100","0","5","105","3","biller","Veg Starters"
"2023-09-19","28382","Mineral Water","20","1","20","0","1","21","22","biller","Deserts & Mocktails"
"2023-09-19","28381","Chicken Noodles","160","1","160","0","8","168","50","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28380","Mineral Water","20","1","20","0","1","21","3","biller","Deserts & Mocktails"
"2023-09-19","28379","Veg Noodles","130","1","130","0","6.5","136.5","4","biller","VEG BIRYANI & RICE"
"2023-09-19","28378","Gobi- 65","120","1","120","0","6","126","2","biller","Veg Starters"
"2023-09-19","28378","Chicken 65","160","1","160","0","8","168","2","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28377","Pulka (2 No)","40","1","40","0","2","42","8","biller","Indian Breads"
"2023-09-19","28377","Kadai Paneer","150","1","150","0","7.5","157.5","8","biller","Veg Gravy"
"2023-09-19","28377","Butter Naan","60","1","60","0","3","63","8","biller","Indian Breads"
"2023-09-19","28376","Pepper Garlic Chicken Soup","90","1","90","0","4.5","94.5","23","biller","Non Veg Soup"
"2023-09-19","28375","Veg Noodles","130","2","260","0","13","273","4","biller","VEG BIRYANI & RICE"
"2023-09-19","28374","Plain Briyani With Raitha, Gravy.","130","1","130","0","6.5","136.5","17","biller","VEG BIRYANI & RICE"
"2023-09-19","28373","Romali Roti (1 No)","50","3","150","0","7.5","157.5","16","biller","Indian Breads"
"2023-09-19","28373","Paneer Butter Masala","150","1","150","0","7.5","157.5","16","biller","Veg Gravy"
"2023-09-19","28373","Gobi- 65","120","1","120","0","6","126","16","biller","Veg Starters"
"2023-09-19","28373","Singapore Noodles Veg","130","1","130","0","6.5","136.5","16","biller","VEG BIRYANI & RICE"
"2023-09-19","28373","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","16","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28373","Dragon Chicken","190","1","190","0","9.5","199.5","16","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28373","Chicken Lolly Pop","190","1","190","0","9.5","199.5","16","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28373","Chicken Chettinad Gravy","170","1","170","0","8.5","178.5","16","biller","Non Veg Gravy"
"2023-09-19","28372","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","4","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28371","Plain Briyani With Raitha, Gravy.","130","1","130","0","6.5","136.5","11","biller","VEG BIRYANI & RICE"
"2023-09-19","28370","Mineral Water","20","1","20","0","1","21","3","biller","Deserts & Mocktails"
"2023-09-19","28369","Butter Milk","40","1","40","0","2","42","2","biller","Deserts & Mocktails"
"2023-09-19","28369","Fresh Lemon Juice","35","1","35","0","1.76","36.76","2","biller","Deserts & Mocktails"
"2023-09-19","28368","Romali Roti (1 No)","50","2","100","0","5","105","2","biller","Indian Breads"
"2023-09-19","28368","Paneer Butter Masala","150","1","150","0","7.5","157.5","2","biller","Veg Gravy"
"2023-09-19","28368","Veg Fried Rice","130","1","130","0","6.5","136.5","2","biller","VEG BIRYANI & RICE"
"2023-09-19","28367","Plain Briyani With Raitha, Gravy.","130","2","260","0","13","273","9","biller","VEG BIRYANI & RICE"
"2023-09-19","28367","Pepper Chicken Gravy","170","1","170","0","8.5","178.5","9","biller","Non Veg Gravy"
"2023-09-19","28366","Prawn Fried Rice","170","1","170","0","8.5","178.5","4","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28366","Singapore Fried Rice Veg","130","1","130","0","6.5","136.5","4","biller","VEG BIRYANI & RICE"
"2023-09-19","28365","Chicken Fried Rice","160","1","160","0","8","168","5","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28365","Chicken 65","160","1","160","0","8","168","5","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28364","Dragon Chicken","190","1","190","0","9.5","199.5","15","biller","NON VEG STARTERS CHICKEN"
"2023-09-19","28364","Veg Fried Rice","130","1","130","0","6.5","136.5","15","biller","VEG BIRYANI & RICE"
"2023-09-19","28363","Chapathi (2 No)","50","3","150","0","7.5","157.5","13","biller","Indian Breads"
"2023-09-19","28363","Green Peas  Masala","150","1","150","0","7.5","157.5","13","biller","Veg Gravy"
"2023-09-19","28363","Paneer Butter Masala","150","1","150","0","7.5","157.5","13","biller","Veg Gravy"
"2023-09-19","28363","Chapathi (2 No)","50","1","50","0","2.5","52.5","13","biller","Indian Breads"
"2023-09-19","28362","Romali Roti (1 No)","50","5","250","0","12.5","262.5","3","biller","Indian Breads"
"2023-09-19","28362","Pepper Chicken Gravy","170","1","170","0","8.5","178.5","3","biller","Non Veg Gravy"
"2023-09-19","28362","Paneer Butter Masala","150","1","150","0","7.5","157.5","3","biller","Veg Gravy"
"2023-09-19","28362","Baby Corn 65","160","1","160","0","8","168","3","biller","Veg Starters"
"2023-09-19","28362","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","3","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28362","Chicken Fried Rice","160","1","160","0","8","168","3","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28362","Mineral Water","20","1","20","0","1","21","3","biller","Deserts & Mocktails"
"2023-09-19","28361","Egg Briyani With Raitha And Chicken Gravy","140","2","280","0","14","294","4","biller","NON VEG BRIYANI & RICE"
"2023-09-19","28361","Paneer Pulao","140","2","280","0","14","294","4","biller","VEG BIRYANI & RICE"
"2023-09-19","28361","Soft Drink 600ml","40","1","40","0","2","42","4","biller","Deserts & Mocktails"
"2023-09-18","28360","Baby Corn Pepper Fry","160","1","160","0","8","168","4","biller","Veg Starters"
"2023-09-18","28360","Dragon Mushroom","160","1","160","0","8","168","4","biller","Veg Starters"
"2023-09-18","28360","French Fries","100","1","100","0","5","105","4","biller","Veg Starters"
"2023-09-18","28360","Hydrabadi Veg Biriyani","130","1","130","0","6.5","136.5","4","biller","VEG BIRYANI & RICE"
"2023-09-18","28360","Jeera Peas Pulao","130","1","130","0","6.5","136.5","4","biller","VEG BIRYANI & RICE"
"2023-09-18","28360","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","4","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28360","Chicken Fried Rice","160","1","160","0","8","168","4","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28360","Naan","50","1","50","0","2.5","52.5","4","biller","Indian Breads"
"2023-09-18","28360","Lachha Paratha","60","1","60","0","3","63","4","biller","Indian Breads"
"2023-09-18","28360","Garlic Roti","50","1","50","0","2.5","52.5","4","biller","Indian Breads"
"2023-09-18","28359","Butter Roti","50","1","50","0","2.5","52.5","2","biller","Indian Breads"
"2023-09-18","28359","Chapathi (2 No)","50","1","50","0","2.5","52.5","2","biller","Indian Breads"
"2023-09-18","28359","Garlic Naan","60","1","60","0","3","63","2","biller","Indian Breads"
"2023-09-18","28359","Naan","50","1","50","0","2.5","52.5","2","biller","Indian Breads"
"2023-09-18","28359","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","2","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28359","Egg Briyani With Raitha And Chicken Gravy","140","1","140","0","7","147","2","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28359","Egg Noodles","140","1","140","0","7","147","2","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28359","Prawn Fried Rice","170","1","170","0","8.5","178.5","2","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28359","Chicken Tikka Masala","190","1","190","0","9.5","199.5","2","biller","Non Veg Gravy"
"2023-09-18","28359","Chicken Manchurian Gravy","170","1","170","0","8.5","178.5","2","biller","Non Veg Gravy"
"2023-09-18","28359","Chicken Kheema Masala","180","1","180","0","9","189","2","biller","Non Veg Gravy"
"2023-09-18","28358","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","26","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28358","Chicken Fried Rice","160","1","160","0","8","168","26","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28358","Egg Briyani With Raitha And Chicken Gravy","140","1","140","0","7","147","26","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28358","Paneer Noodles","150","1","150","0","7.5","157.5","26","biller","VEG BIRYANI & RICE"
"2023-09-18","28358","Pulka (2 No)","40","1","40","0","2","42","26","biller","Indian Breads"
"2023-09-18","28358","Romali Roti (1 No)","50","1","50","0","2.5","52.5","26","biller","Indian Breads"
"2023-09-18","28358","Chapathi (2 No)","50","1","50","0","2.5","52.5","26","biller","Indian Breads"
"2023-09-18","28358","Butter Naan","60","1","60","0","3","63","26","biller","Indian Breads"
"2023-09-18","28358","Karaikudi Kozhi Kozhimbu","170","1","170","0","8.5","178.5","26","biller","Non Veg Gravy"
"2023-09-18","28358","Chilly Chicken Gravy","170","1","170","0","8.5","178.5","26","biller","Non Veg Gravy"
"2023-09-18","28358","Chicken Tikka Masala","190","1","190","0","9.5","199.5","26","biller","Non Veg Gravy"
"2023-09-18","28357","Singapore Fried Rice Non-veg","160","1","160","0","8","168","15","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28357","Garlic Naan","60","1","60","0","3","63","15","biller","Indian Breads"
"2023-09-18","28357","Dragon Prawns","199","1","199","0","9.94","208.94","15","biller","NON VEG STARTERS FISH"
"2023-09-18","28356","Mineral Water","20","1","20","0","1","21","8","biller","Deserts & Mocktails"
"2023-09-18","28355","Chicken Fried Rice","160","1","160","0","8","168","7","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28355","Chicken Kothu Paratha","110","1","110","0","5.5","115.5","7","biller","Indian Breads"
"2023-09-18","28355","Parota","30","4","120","0","6","126","7","biller","Indian Breads"
"2023-09-18","28355","Paneer Butter Masala","150","1","150","0","7.5","157.5","7","biller","Veg Gravy"
"2023-09-18","28354","Paneer Butter Masala","150","1","150","15","6.76","141.76","50","biller","Veg Gravy"
"2023-09-18","28354","Kozhi Milaghuperattal","160","1","160","16","7.2","151.2","50","biller","NON VEG STARTERS CHICKEN"
"2023-09-18","28354","Roti","40","5","200","20","9","189","50","biller","Indian Breads"
"2023-09-18","28353","Singapore Fried Rice Non-veg","160","1","160","0","8","168","3","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28353","Chicken Fried Rice","160","1","160","0","8","168","3","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28353","Egg Pepper Fry","60","1","60","0","3","63","3","biller","NON VEG STARTERS EGG"
"2023-09-18","28352","Chicken Kati Roll","120","1","120","0","6","126","5","biller","NON VEG STARTERS CHICKEN"
"2023-09-18","28352","Chicken Kothu Paratha","110","1","110","0","5.5","115.5","5","biller","Indian Breads"
"2023-09-18","28351","Schewan Veg Fried Rice","130","1","130","0","6.5","136.5","13","biller","VEG BIRYANI & RICE"
"2023-09-18","28351","Dragon Paneer","150","1","150","0","7.5","157.5","13","biller","Veg Starters"
"2023-09-18","28350","Mineral Water","20","1","20","0","1","21","4","biller","Deserts & Mocktails"
"2023-09-18","28350","Paneer Butter Masala","150","1","150","0","7.5","157.5","4","biller","Veg Gravy"
"2023-09-18","28350","Butter Naan","60","2","120","0","6","126","4","biller","Indian Breads"
"2023-09-18","28350","Chicken Fried Rice","160","1","160","0","8","168","4","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28350","Egg Fried Rice","140","1","140","0","7","147","4","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28350","Chicken Fried Rice","160","1","160","0","8","168","4","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28349","Pulka (2 No)","40","2","80","0","4","84","9","biller","Indian Breads"
"2023-09-18","28349","Egg Bhurji Masala","150","1","150","0","7.5","157.5","9","biller","Non Veg Gravy"
"2023-09-18","28348","Pichipotta Kozhivaruval","160","1","160","0","8","168","6","biller","NON VEG STARTERS CHICKEN"
"2023-09-18","28347","Mineral Water","20","1","20","0","1","21","5","biller","Deserts & Mocktails"
"2023-09-18","28346","Chicken Fried Rice","160","1","160","0","8","168","12","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28345","Paneer Butter Masala","150","1","150","0","7.5","157.5","2","biller","Veg Gravy"
"2023-09-18","28345","Butter Naan","60","2","120","0","6","126","2","biller","Indian Breads"
"2023-09-18","28345","Mineral Water","20","1","20","0","1","21","2","biller","Deserts & Mocktails"
"2023-09-18","28344","Honey Chicken","190","1","190","0","9.5","199.5","7","biller","NON VEG STARTERS CHICKEN"
"2023-09-18","28343","Plain Briyani With Raitha, Gravy.","130","1","130","0","6.5","136.5","10","biller","VEG BIRYANI & RICE"
"2023-09-18","28343","Chicken 65","160","1","160","0","8","168","10","biller","NON VEG STARTERS CHICKEN"
"2023-09-18","28343","Chicken Lolly Pop","190","1","190","0","9.5","199.5","10","biller","NON VEG STARTERS CHICKEN"
"2023-09-18","28342","Mineral Water","20","1","20","2","0.9","18.9","1","biller","Deserts & Mocktails"
"2023-09-18","28341","Aalu Gobi Masala","150","1","150","0","7.5","157.5","50","biller","Veg Gravy"
"2023-09-18","28340","Chicken Clear Soup","90","1","90","9","4.06","85.06","1","biller","Non Veg Soup"
"2023-09-18","28340","Mineral Water","20","1","20","2","0.9","18.9","1","biller","Deserts & Mocktails"
"2023-09-18","28339","Chicken Fried Rice","160","1","160","0","8","168","10","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28338","Chicken Fried Rice","160","1","160","0","8","168","1","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28337","Chicken Biriyani With Raitha And Gravy","160","3","480","0","24","504","13","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28337","Egg Fried Rice","140","1","140","0","7","147","13","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28337","Chicken Fried Rice","160","1","160","0","8","168","13","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28337","Schewan  Chicken Fried Rice","160","1","160","0","8","168","13","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28337","Dragon Chicken","190","1","190","0","9.5","199.5","13","biller","NON VEG STARTERS CHICKEN"
"2023-09-18","28337","Mineral Water","20","1","20","0","1","21","13","biller","Deserts & Mocktails"
"2023-09-18","28336","Plain Briyani With Raitha, Gravy.","130","3","390","0","19.5","409.5","50","biller","VEG BIRYANI & RICE"
"2023-09-18","28336","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","50","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28336","Schezwan Chicken Dry","190","1","190","0","9.5","199.5","50","biller","NON VEG STARTERS CHICKEN"
"2023-09-18","28336","Pepper Tandoori Chicken ( Half )","209","1","209","0","10.46","219.46","50","biller","Non Veg Tandoor"
"2023-09-18","28336","Soft Drink 600ml","40","1","40","0","2","42","50","biller","Deserts & Mocktails"
"2023-09-18","28335","Chicken Fried Rice","160","1","160","0","8","168","9","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28334","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","10","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28333","Chicken Biriyani With Raitha And Gravy","160","2","320","0","16","336","4","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28333","Chicken Manchurian Dry","190","2","380","0","19","399","4","biller","NON VEG STARTERS CHICKEN"
"2023-09-18","28332","Chicken Biriyani With Raitha And Gravy","160","2","320","0","16","336","3","biller","NON VEG BRIYANI & RICE"
"2023-09-18","28331","Chicken Biriyani With Raitha And Gravy","160","2","320","32","14.4","302.4","3","biller","NON VEG BRIYANI & RICE"
"2023-09-17","28330","Egg Fried Rice","140","1","140","0","7","147","9","biller","NON VEG BRIYANI & RICE"
"2023-09-17","28329","Tea","20","1","20","0","1","21","4","biller","Deserts & Mocktails"
"2023-09-17","28328","Butter Naan","60","1","60","0","3","63","19","biller","Indian Breads"
"2023-09-17","28328","Kadai Vegetable","150","1","150","0","7.5","157.5","19","biller","Veg Gravy"
"2023-09-17","28328","Kadai Paneer","150","1","150","0","7.5","157.5","19","biller","Veg Gravy"
"2023-09-17","28328","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","19","biller","NON VEG BRIYANI & RICE"
"2023-09-17","28328","Egg Fried Rice","140","1","140","0","7","147","19","biller","NON VEG BRIYANI & RICE"
"2023-09-17","28328","Chicken Noodles","160","1","160","0","8","168","19","biller","NON VEG BRIYANI & RICE"
"2023-09-17","28328","Schezwan Chicken  Fried Rice","160","1","160","0","8","168","19","biller","NON VEG BRIYANI & RICE"
"2023-09-17","28328","Schewan Chicken Noodle","160","1","160","0","8","168","19","biller","NON VEG BRIYANI & RICE"
"2023-09-17","28327","Dragon Mushroom","160","1","160","0","8","168","16","biller","Veg Starters"
"2023-09-17","28327","Dragon Paneer","150","1","150","0","7.5","157.5","16","biller","Veg Starters"
"2023-09-17","28327","Chicken Lolly Pop","190","1","190","0","9.5","199.5","16","biller","NON VEG STARTERS CHICKEN"
"2023-09-17","28327","Kadai Vegetable","150","1","150","0","7.5","157.5","16","biller","Veg Gravy"
"2023-09-17","28327","Kadai Mushroom","150","1","150","0","7.5","157.5","16","biller","Veg Gravy"
"2023-09-17","28327","Plain Paratha (1 No)","40","1","40","0","2","42","16","biller","Indian Breads"
"2023-09-17","28327","Pulka (2 No)","40","1","40","0","2","42","16","biller","Indian Breads"
"2023-09-17","28327","Romali Roti (1 No)","50","1","50","0","2.5","52.5","16","biller","Indian Breads"
"2023-09-17","28327","Butter Naan","60","1","60","0","3","63","16","biller","Indian Breads"
"2023-09-17","28327","Roti","40","1","40","0","2","42","16","biller","Indian Breads"
"2023-09-17","28326","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","26","biller","NON VEG BRIYANI & RICE"
"2023-09-17","28326","Chicken Fried Rice","160","1","160","0","8","168","26","biller","NON VEG BRIYANI & RICE"
"2023-09-17","28326","Chicken Noodles","160","1","160","0","8","168","26","biller","NON VEG BRIYANI & RICE"
"2023-09-17","28326","Garlic Naan","60","2","120","0","6","126","26","biller","Indian Breads"
"2023-09-17","28326","Lachha Paratha","60","1","60","0","3","63","26","biller","Indian Breads"
"2023-09-17","28326","Garlic Roti","50","1","50","0","2.5","52.5","26","biller","Indian Breads"
"2023-09-17","28326","Egg Kothu Paratha","110","1","110","0","5.5","115.5","26","biller","Indian Breads"
"2023-09-17","28326","Romali Roti (1 No)","50","1","50","0","2.5","52.5","26","biller","Indian Breads"
"2023-09-17","28326","Green Peas  Mushroom  Masala","150","1","150","0","7.5","157.5","26","biller","Veg Gravy"
"2023-09-17","28326","Dal Tudka","140","1","140","0","7","147","26","biller","Veg Gravy"
"2023-09-17","28326","Dingri Mutter","150","1","150","0","7.5","157.5","26","biller","Veg Gravy"
"2023-09-17","28325","Pulka (2 No)","40","1","40","0","2","42","3","biller","Indian Breads"
"2023-09-17","28325","Pulka (2 No)","40","1","40","0","2","42","3","biller","Indian Breads"
"2023-09-17","28324","Butter Chicken Gravy","170","1","170","0","8.5","178.5","2","biller","Non Veg Gravy"
"2023-09-17","28324","Pulka (2 No)","40","2","80","0","4","84","2","biller","Indian Breads"
"2023-09-17","28323","Roti","40","4","160","0","8","168","16","biller","Indian Breads"
"2023-09-17","28323","Paneer Butter Masala","150","1","150","0","7.5","157.5","16","biller","Veg Gravy"
"2023-09-17","28323","Hydrabadi Chicken Masala","170","1","170","0","8.5","178.5","16","biller","Non Veg Gravy"
"2023-09-17","28322","Dragon Chicken","190","1","190","0","9.5","199.5","8","biller","NON VEG STARTERS CHICKEN"
"2023-09-17","28322","Chapathi (2 No)","50","1","50","0","2.5","52.5","8","biller","Indian Breads"
"2023-09-17","28322","Boiled Egg (2 Nos)","30","1","30","0","1.5","31.5","8","biller","NON VEG STARTERS EGG"
"2023-09-17","28322","Chicken Pallipalayam","160","1","160","0","8","168","8","biller","NON VEG STARTERS CHICKEN"
"2023-09-17","28322","Baby Corn 65","160","1","160","0","8","168","8","biller","Veg Starters"
"2023-09-17","28321","Roti","40","3","120","0","6","126","10","biller","Indian Breads"
"2023-09-17","28321","Mushroom Masala","150","1","150","0","7.5","157.5","10","biller","Veg Gravy"
"2023-09-17","28321","Baby Corn 65","160","1","160","0","8","168","10","biller","Veg Starters"
"2023-09-17","28321","Naan","50","3","150","0","7.5","157.5","10","biller","Indian Breads"
"2023-09-17","28321","Mineral Water","20","1","20","0","1","21","10","biller","Deserts & Mocktails"
"2023-09-17","28321","Paneer Butter Masala","150","1","150","0","7.5","157.5","10","biller","Veg Gravy"
"2023-09-17","28320","Mineral Water","20","1","20","0","1","21","3","biller","Deserts & Mocktails"
"2023-09-17","28319","Egg Fried Rice","140","1","140","0","7","147","7","biller","NON VEG BRIYANI & RICE"
"2023-09-17","28319","Prawn Chilli","199","1","199","0","9.94","208.94","7","biller","NON VEG STARTERS FISH"
"2023-09-17","28319","Boiled Egg (2 Nos)","30","1","30","0","1.5","31.5","7","biller","NON VEG STARTERS EGG"
"2023-09-17","28318","Hot And Sour Chicken Soup","90","1","90","0","4.5","94.5","13","biller","Non Veg Soup"
"2023-09-17","28318","Hot And Sour Veg Soup","80","1","80","0","4","84","13","biller","Veg Soup"
"2023-09-17","28318","Baby Corn Pepper Fry","160","1","160","0","8","168","13","biller","Veg Starters"
"2023-09-17","28318","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","13","biller","NON VEG BRIYANI & RICE"
"2023-09-17","28318","Thandoor Chicken Half","199","1","199","0","9.94","208.94","13","biller","Non Veg Tandoor"
"2023-09-17","28317","Dragon Gobi","160","1","160","0","8","168","1","biller","Veg Starters"
"2023-09-17","28317","Kadai Paneer","150","1","150","0","7.5","157.5","1","biller","Veg Gravy"
"2023-09-17","28317","Naan","50","1","50","0","2.5","52.5","1","biller","Indian Breads"
"2023-09-17","28317","Mineral Water","20","1","20","0","1","21","1","biller","Deserts & Mocktails"
"2023-09-17","28316","Chicken Fried Rice","160","1","160","0","8","168","6","biller","NON VEG BRIYANI & RICE"
"2023-09-17","28316","Naan","50","1","50","0","2.5","52.5","6","biller","Indian Breads"
"2023-09-17","28315","Sweet Corn Veg Soup","80","1","80","0","4","84","15","biller","Veg Soup"
"2023-09-17","28315","Pepper Garlic Chicken Soup","90","1","90","0","4.5","94.5","15","biller","Non Veg Soup"
"2023-09-17","28315","French Fries","100","1","100","0","5","105","15","biller","Veg Starters"
"2023-09-17","28315","Chicken 65 Boneless","190","1","190","0","9.5","199.5","15","biller","NON VEG STARTERS CHICKEN"
"2023-09-17","28315","Prawn Pepper Fry","199","1","199","0","9.94","208.94","15","biller","NON VEG STARTERS FISH"
"2023-09-17","28315","Chicken Lolly Pop","190","1","190","0","9.5","199.5","15","biller","NON VEG STARTERS CHICKEN"
"2023-09-17","28315","Butter Naan","60","5","300","0","15","315","15","biller","Indian Breads"
"2023-09-17","28315","Paneer Butter Masala","150","1","150","0","7.5","157.5","15","biller","Veg Gravy"
"2023-09-17","28315","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","15","biller","NON VEG BRIYANI & RICE"
"2023-09-17","28315","Kadai Chicken","170","1","170","0","8.5","178.5","15","biller","Non Veg Gravy"
"2023-09-17","28315","Baby Corn 65","160","1","160","0","8","168","15","biller","Veg Starters"
"2023-09-17","28315","Masala Omelet (two Eggs","40","2","80","0","4","84","15","biller","NON VEG STARTERS EGG"
"2023-09-17","28315","Mineral Water","20","2","40","0","2","42","15","biller","Deserts & Mocktails"
"2023-09-17","28314","Paneer- 65","140","1","140","0","7","147","14","biller","Veg Starters"
"2023-09-17","28314","Chicken Biriyani With Raitha And Gravy","160","1","160","0","8","168","14","biller","NON VEG BRIYANI & RICE"
"2023-09-17","28314","Veg Fried Rice","130","1","130","0","6.5","136.5","14","biller","VEG BIRYANI & RICE"
"2023-09-17","28314","Butter Kulcha","60","2","120","0","6","126","14","biller","Indian Breads"
